"","pmid","title","nodeA","edge","nodeB","context","nodeA_normalized","edge_normalized","nodeB_normalized","context_normalized"
"2092","37665628","IGF2BP2 promotes ovarian cancer growth and metastasis by upregulating CKAP2L protein expression in an m6 A-dependent manner.","IGF2BP2","promote","Ovarian Cancer Growth","Ovarian Cancer","IGF2BP2","STIMULATES","Ovarian Cancer Growth","OV(Ovarian Serous Cystadenocarcinoma)"
"2093","37665628","IGF2BP2 promotes ovarian cancer growth and metastasis by upregulating CKAP2L protein expression in an m6 A-dependent manner.","IGF2BP2","promote","Metastasis","Ovarian Cancer","IGF2BP2","STIMULATES","Neoplasm Metastasis","OV(Ovarian Serous Cystadenocarcinoma)"
"2094","37665628","IGF2BP2 promotes ovarian cancer growth and metastasis by upregulating CKAP2L protein expression in an m6 A-dependent manner.","IGF2BP2","upregulate","CKAP2L protein","Ovarian Cancer","IGF2BP2","STIMULATES","CKAP2L protein","OV(Ovarian Serous Cystadenocarcinoma)"
"2095","37665628","IGF2BP2 promotes ovarian cancer growth and metastasis by upregulating CKAP2L protein expression in an m6 A-dependent manner.","IGF2BP2","regulate","m6A","Ovarian Cancer","IGF2BP2","AFFECTS","m6A","OV(Ovarian Serous Cystadenocarcinoma)"
"2096","37665628","IGF2BP2 promotes ovarian cancer growth and metastasis by upregulating CKAP2L protein expression in an m6 A-dependent manner.","CKAP2L protein","promote","Ovarian Cancer Growth","Ovarian Cancer","CKAP2L protein","STIMULATES","Ovarian Cancer Growth","OV(Ovarian Serous Cystadenocarcinoma)"
"2097","37665628","IGF2BP2 promotes ovarian cancer growth and metastasis by upregulating CKAP2L protein expression in an m6 A-dependent manner.","CKAP2L protein","promote","Metastasis","Ovarian Cancer","CKAP2L protein","STIMULATES","Neoplasm Metastasis","OV(Ovarian Serous Cystadenocarcinoma)"
"2099","37666478","Branched-chain amino acids prevent obesity by inhibiting the cell cycle in an NADPH-FTO-m6A coordinated manner.","Branched-chain amino acids","prevent","Obesity","Obesity","branched-chain amino acid","PREVENTS","Obesity","Obesity"
"2100","37666478","Branched-chain amino acids prevent obesity by inhibiting the cell cycle in an NADPH-FTO-m6A coordinated manner.","Branched-chain amino acids","inhibit","Cell Cycle","Obesity","branched-chain amino acid","INHIBITS","cell cycle","Obesity"
"2101","37666478","Branched-chain amino acids prevent obesity by inhibiting the cell cycle in an NADPH-FTO-m6A coordinated manner.","Branched-chain amino acids","regulate","NADPH","Obesity","branched-chain amino acid","AFFECTS","NADPH","Obesity"
"2102","37666478","Branched-chain amino acids prevent obesity by inhibiting the cell cycle in an NADPH-FTO-m6A coordinated manner.","FTO","bind","m6A","Obesity","FTO","INTERACTS_WITH","m6A","Obesity"
"2103","37666478","Branched-chain amino acids prevent obesity by inhibiting the cell cycle in an NADPH-FTO-m6A coordinated manner.","m6A","regulate","Cell Cycle","Obesity","m6A","AFFECTS","cell cycle","Obesity"
"2105","37669863","Synapse-enriched m6A-modified Malat1 interacts with the novel m6A reader, DPYSL2, and is required for fear-extinction memory.","m6A","is on","Malat1","Synapse","m6A","LOCATES","MALAT1","synapse"
"2106","37669863","Synapse-enriched m6A-modified Malat1 interacts with the novel m6A reader, DPYSL2, and is required for fear-extinction memory.","Malat1","interact","DPYSL2","Synapse","MALAT1","interact","DPYSL2","synapse"
"2107","37669863","Synapse-enriched m6A-modified Malat1 interacts with the novel m6A reader, DPYSL2, and is required for fear-extinction memory.","Malat1","required for","fear-extinction memory","Synapse","MALAT1","CAUSES","fear-extinction memory","synapse"
"2109","37669906","N6 -methyladenosine-modified circFUT8 competitively interacts with YTHDF2 and miR-186-5p to stabilize FUT8 mRNA to promote malignant progression in lung adenocarcinoma.","N6 -methyladenosine-modified circFUT8","interact","YTHDF2","Lung Adenocarcinoma","m6A-modified circFUT8","interact","YTHDF2","LUAD(Lung Adenocarcinoma)"
"2110","37669906","N6 -methyladenosine-modified circFUT8 competitively interacts with YTHDF2 and miR-186-5p to stabilize FUT8 mRNA to promote malignant progression in lung adenocarcinoma.","N6 -methyladenosine-modified circFUT8","interact","miR-186-5p","Lung Adenocarcinoma","m6A-modified circFUT8","interact","miR-186-5p","LUAD(Lung Adenocarcinoma)"
"2111","37669906","N6 -methyladenosine-modified circFUT8 competitively interacts with YTHDF2 and miR-186-5p to stabilize FUT8 mRNA to promote malignant progression in lung adenocarcinoma.","N6 -methyladenosine-modified circFUT8","stabilize","FUT8 mRNA","Lung Adenocarcinoma","m6A-modified circFUT8","MAINTAINS","FUT8","LUAD(Lung Adenocarcinoma)"
"2112","37669906","N6 -methyladenosine-modified circFUT8 competitively interacts with YTHDF2 and miR-186-5p to stabilize FUT8 mRNA to promote malignant progression in lung adenocarcinoma.","FUT8 mRNA","promote","malignant progression","Lung Adenocarcinoma","FUT8","STIMULATES","Malignant Progression","LUAD(Lung Adenocarcinoma)"
"2114","37670228","N6-methyladenosine modification of PLOD2 causes spermatocyte damage in rats with varicocele.","PLOD2","cause","spermatocyte damage","Rats with varicocele","PLOD2","CAUSES","spermatocyte damage","Rats with varicocele"
"2116","37673880","METTL16 controls Kaposi's sarcoma-associated herpesvirus replication by regulating S-adenosylmethionine cycle.","METTL16","regulate","S-adenosylmethionine cycle","Kaposi's sarcoma-associated herpesvirus","METTL16","AFFECTS","S-adenosylmethionine cycle","Herpesvirus 8, Human"
"2117","37673880","METTL16 controls Kaposi's sarcoma-associated herpesvirus replication by regulating S-adenosylmethionine cycle.","S-adenosylmethionine cycle","regulate","replication","Kaposi's sarcoma-associated herpesvirus","S-adenosylmethionine cycle","AFFECTS","replication","Herpesvirus 8, Human"
"2119","37683648","eIF3d controls the persistent integrated stress response.","eIF3d","control","persistent integrated stress response","Null","EIF3D","AFFECTS","persistent integrated stress response","Null"
"2121","37688756","m6A-mediated lncRNA NEAT1 plays an oncogenic role in non-small cell lung cancer by upregulating the HMGA1 expression through binding miR-361-3p.","m6A","mediate","lncRNA NEAT1","Non-small cell lung cancer","m6A","AFFECTS","NEAT1","LUAD (Lung Adenocarcinoma) or LUSC(Lung Squamous Cell Carcinoma)"
"2122","37688756","m6A-mediated lncRNA NEAT1 plays an oncogenic role in non-small cell lung cancer by upregulating the HMGA1 expression through binding miR-361-3p.","lncRNA NEAT1","play","oncogenic role","Non-small cell lung cancer","NEAT1","play","oncogenic role","LUAD (Lung Adenocarcinoma) or LUSC(Lung Squamous Cell Carcinoma)"
"2123","37688756","m6A-mediated lncRNA NEAT1 plays an oncogenic role in non-small cell lung cancer by upregulating the HMGA1 expression through binding miR-361-3p.","lncRNA NEAT1","upregulate","HMGA1","Non-small cell lung cancer","NEAT1","STIMULATES","HMGA1","LUAD (Lung Adenocarcinoma) or LUSC(Lung Squamous Cell Carcinoma)"
"2124","37688756","m6A-mediated lncRNA NEAT1 plays an oncogenic role in non-small cell lung cancer by upregulating the HMGA1 expression through binding miR-361-3p.","lncRNA NEAT1","bind","miR-361-3p","Non-small cell lung cancer","NEAT1","INTERACTS_WITH","miR-361-3p","LUAD (Lung Adenocarcinoma) or LUSC(Lung Squamous Cell Carcinoma)"
"2125","37688756","m6A-mediated lncRNA NEAT1 plays an oncogenic role in non-small cell lung cancer by upregulating the HMGA1 expression through binding miR-361-3p.","HMGA1","regulate","oncogenic role","Non-small cell lung cancer","HMGA1","AFFECTS","oncogenic role","LUAD (Lung Adenocarcinoma) or LUSC(Lung Squamous Cell Carcinoma)"
"2127","37689242","ALKBH5 Induces Fibroblast-to-Myofibroblast Transformation During Hypoxia to Protect Against Cardiac Rupture After Myocardial Infarction.","ALKBH5","induce","Fibroblast-to-Myofibroblast Transformation","Myocardial Infarction","ALKBH5","CAUSES","Fibroblast-to-Myofibroblast Transformation","Myocardial Infarction"
"2128","37689242","ALKBH5 Induces Fibroblast-to-Myofibroblast Transformation During Hypoxia to Protect Against Cardiac Rupture After Myocardial Infarction.","Hypoxia","occur during","Fibroblast-to-Myofibroblast Transformation","Myocardial Infarction","Hypoxia","occur during","Fibroblast-to-Myofibroblast Transformation","Myocardial Infarction"
"2129","37689242","ALKBH5 Induces Fibroblast-to-Myofibroblast Transformation During Hypoxia to Protect Against Cardiac Rupture After Myocardial Infarction.","Fibroblast-to-Myofibroblast Transformation","protect against","Cardiac Rupture","Myocardial Infarction","Fibroblast-to-Myofibroblast Transformation","protect against","Heart Rupture","Myocardial Infarction"
"2131","37698736","N6-methyladenosine regulator YTHDF1 represses the CD8 + T cell-mediated antitumor immunity and ferroptosis in prostate cancer via m6A/PD-L1 manner.","YTHDF1","repress","CD8 + T cell-mediated antitumor immunity","Prostate Cancer","YTHDF1","INHIBITS","CD8 + T cell-mediated antitumor immunity","PRAD(Prostate Adenocarcinoma)"
"2132","37698736","N6-methyladenosine regulator YTHDF1 represses the CD8 + T cell-mediated antitumor immunity and ferroptosis in prostate cancer via m6A/PD-L1 manner.","YTHDF1","repress","ferroptosis","Prostate Cancer","YTHDF1","INHIBITS","Ferroptosis","PRAD(Prostate Adenocarcinoma)"
"2133","37698736","N6-methyladenosine regulator YTHDF1 represses the CD8 + T cell-mediated antitumor immunity and ferroptosis in prostate cancer via m6A/PD-L1 manner.","YTHDF1","regulate","m6A","Prostate Cancer","YTHDF1","AFFECTS","m6A","PRAD(Prostate Adenocarcinoma)"
"2134","37698736","N6-methyladenosine regulator YTHDF1 represses the CD8 + T cell-mediated antitumor immunity and ferroptosis in prostate cancer via m6A/PD-L1 manner.","PD-L1","bind","m6A","Prostate Cancer","CD274","INTERACTS_WITH","m6A","PRAD(Prostate Adenocarcinoma)"
"2135","37698736","N6-methyladenosine regulator YTHDF1 represses the CD8 + T cell-mediated antitumor immunity and ferroptosis in prostate cancer via m6A/PD-L1 manner.","m6A","regulate","CD8 + T cell-mediated antitumor immunity","Prostate Cancer","m6A","AFFECTS","CD8 + T cell-mediated antitumor immunity","PRAD(Prostate Adenocarcinoma)"
"2136","37698736","N6-methyladenosine regulator YTHDF1 represses the CD8 + T cell-mediated antitumor immunity and ferroptosis in prostate cancer via m6A/PD-L1 manner.","m6A","regulate","ferroptosis","Prostate Cancer","m6A","AFFECTS","Ferroptosis","PRAD(Prostate Adenocarcinoma)"
"2138","37698901","The N6-methyladenosine demethylase FTO is required for odontoblast differentiation in vitro and dentine formation in mice by promoting RUNX2 exon 5 inclusion through RBM4.","FTO","required for","odontoblast differentiation","In vitro and mice","FTO","CAUSES","odontoblast differentiation","In vitro and mice"
"2139","37698901","The N6-methyladenosine demethylase FTO is required for odontoblast differentiation in vitro and dentine formation in mice by promoting RUNX2 exon 5 inclusion through RBM4.","FTO","required for","dentine formation","In vitro and mice","FTO","CAUSES","dentine formation","In vitro and mice"
"2140","37698901","The N6-methyladenosine demethylase FTO is required for odontoblast differentiation in vitro and dentine formation in mice by promoting RUNX2 exon 5 inclusion through RBM4.","FTO","promote","RUNX2 exon 5","In vitro and mice","FTO","STIMULATES","RUNX2 exon 5","In vitro and mice"
"2141","37698901","The N6-methyladenosine demethylase FTO is required for odontoblast differentiation in vitro and dentine formation in mice by promoting RUNX2 exon 5 inclusion through RBM4.","RUNX2 exon 5","through","RBM4","In vitro and mice","RUNX2 exon 5","through","RBM4","In vitro and mice"
"2142","37698901","The N6-methyladenosine demethylase FTO is required for odontoblast differentiation in vitro and dentine formation in mice by promoting RUNX2 exon 5 inclusion through RBM4.","RBM4","regulate","odontoblast differentiation","In vitro and mice","RBM4","AFFECTS","odontoblast differentiation","In vitro and mice"
"2143","37698901","The N6-methyladenosine demethylase FTO is required for odontoblast differentiation in vitro and dentine formation in mice by promoting RUNX2 exon 5 inclusion through RBM4.","RBM4","regulate","dentine formation","In vitro and mice","RBM4","AFFECTS","dentine formation","In vitro and mice"
"2145","37715457","METTL3-mediated N6-methyladenosine exacerbates ferroptosis via m6A-IGF2BP2-dependent mitochondrial metabolic reprogramming in sepsis-induced acute lung injury.","METTL3","mediate","N6-methyladenosine","Sepsis-induced acute lung injury","METTL3","AFFECTS","m6A","Sepsis-induced acute lung injury"
"2146","37715457","METTL3-mediated N6-methyladenosine exacerbates ferroptosis via m6A-IGF2BP2-dependent mitochondrial metabolic reprogramming in sepsis-induced acute lung injury.","METTL3","regulate","m6A","Sepsis-induced acute lung injury","METTL3","AFFECTS","m6A","Sepsis-induced acute lung injury"
"2147","37715457","METTL3-mediated N6-methyladenosine exacerbates ferroptosis via m6A-IGF2BP2-dependent mitochondrial metabolic reprogramming in sepsis-induced acute lung injury.","IGF2BP2","bind","m6A","Sepsis-induced acute lung injury","IGF2BP2","INTERACTS_WITH","m6A","Sepsis-induced acute lung injury"
"2148","37715457","METTL3-mediated N6-methyladenosine exacerbates ferroptosis via m6A-IGF2BP2-dependent mitochondrial metabolic reprogramming in sepsis-induced acute lung injury.","m6A","exacerbate","ferroptosis","Sepsis-induced acute lung injury","m6A","COMPLICATES","Ferroptosis","Sepsis-induced acute lung injury"
"2150","37716414","NAT10 regulates the repair of UVB-induced DNA damage and tumorigenicity.","NAT10","regulate","UVB-induced DNA damage","Null","NAT10","AFFECTS","UVB-induced DNA damage","Null"
"2151","37716414","NAT10 regulates the repair of UVB-induced DNA damage and tumorigenicity.","NAT10","regulate","tumorigenicity","Null","NAT10","AFFECTS","Tumorigenicity","Null"
"2153","37724907","YY1 is regulated by ALKBH5-mediated m6A modification and promotes autophagy and cancer progression through targeting ATG4B.","ALKBH5","mediate","m6A","Cancer","ALKBH5","AFFECTS","m6A","PANCAN(Pan-Cancer)"
"2154","37724907","YY1 is regulated by ALKBH5-mediated m6A modification and promotes autophagy and cancer progression through targeting ATG4B.","m6A","regulate","YY1","Cancer","m6A","AFFECTS","YY1","PANCAN(Pan-Cancer)"
"2155","37724907","YY1 is regulated by ALKBH5-mediated m6A modification and promotes autophagy and cancer progression through targeting ATG4B.","YY1","promote","autophagy","Cancer","YY1","STIMULATES","autophagy","PANCAN(Pan-Cancer)"
"2156","37724907","YY1 is regulated by ALKBH5-mediated m6A modification and promotes autophagy and cancer progression through targeting ATG4B.","YY1","target","ATG4B","Cancer","YY1","INTERACTS_WITH","ATG4B","PANCAN(Pan-Cancer)"
"2157","37724907","YY1 is regulated by ALKBH5-mediated m6A modification and promotes autophagy and cancer progression through targeting ATG4B.","ATG4B","regulate","autophagy","Cancer","ATG4B","AFFECTS","autophagy","PANCAN(Pan-Cancer)"
"2159","37726400","LncRNA BCAN-AS1 stabilizes c-Myc via N6-methyladenosine-mediated binding with SNIP1 to promote pancreatic cancer.","BCAN-AS1","stabilize","c-Myc","Pancreatic Cancer","BCAN-AS1","MAINTAINS","MYC","PAAD(Pancreatic Adenocarcinoma)"
"2160","37726400","LncRNA BCAN-AS1 stabilizes c-Myc via N6-methyladenosine-mediated binding with SNIP1 to promote pancreatic cancer.","BCAN-AS1","regulate","N6-methyladenosine","Pancreatic Cancer","BCAN-AS1","AFFECTS","m6A","PAAD(Pancreatic Adenocarcinoma)"
